,city,population,average_temperature,average_rainfall,Ratio(temp/rainfall)
0,Tokyo,37393000,15.4,60.0,0.25666666666666665
1,Delhi,30291000,25.0,31.1,0.8038585209003215
2,Shanghai,27058000,16.7,45.0,0.3711111111111111
3,Sao Paulo,22043000,19.2,55.0,0.34909090909090906
4,Mexico City,21782000,17.5,41.7,0.41966426858513184
5,Dhaka,21006000,25.9,80.9,0.3201483312731767
6,Cairo,20901000,21.4,0.7,30.571428571428573
7,Beijing,20463000,12.9,25.0,0.516
8,Mumbai,20411000,27.1,95.35,0.2842160461457787
9,Osaka,19165000,29.0,58.1,0.4991394148020654
